Name,Teams,Matches,Runs,Bat Avg,Wickets,Bowl Avg
T Natarajan,"KXI, SUN",35,3,,38,28.79
A M Nayar,"MIN, KXI, PWI, RRO",60,672,17.68,9,35.78
P Negi,"DDV, CSK, RCB",50,365,14.04,34,27.62
A Nel,MIN,1,,0.00,1,31.00
L Ngidi,"CSK, DDV",14,,,25,17.92
A A Noffke,RCB,1,9,9.00,1,40.00
M Ntini,CSK,9,11,11.00,7,34.57
P P Ojha,"DCH, MIN",92,16,1.33,89,26.20
P Ray Barman,RCB,1,19,19.00,,
T D Paine,PWI,2,10,5.00,,
M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG",160,3648,29.90,,
K H Pandya,"MIN, LSG",98,1326,22.47,61,33.41
R R Pant,DDV,98,2838,34.61,,
P  Parameswaran,"KTK, RCB",8,1,,9,24.89
W D Parnell,"PWI, DDV",26,63,7.00,26,26.96
A R Patel,"KXI, DDV",122,1135,19.24,101,30.52
M M Patel,"RRO, MIN, GUJ",63,39,6.50,74,22.95
P A Patel,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.60,,
A U K Pathan,RCB,9,39,7.80,,
Y K Pathan,"RRO, KKR, SUN",174,3204,29.13,42,33.02
R M Patidar,RCB,12,404,40.40,,
J L Pattinson,MIN,10,15,15.00,11,29.09
A G  Paunikar,RRO,5,49,9.80,,
M D K J Perera,RRO,2,14,7.00,,
R J Peterson,MIN,5,32,10.67,3,23.33
G D Phillips,"RRO, SUN",3,26,13.00,1,20.00
L E Plunkett,DDV,7,1,1.00,4,56.25
S M Pollock,MIN,13,147,18.38,11,27.36
R T Ponting,"KKR, MIN",10,91,10.11,,
I C Porel,KXI,1,,,1,39.00
R Powell,DDV,14,250,25.00,,
S S Prabhudessai,RCB,5,67,13.40,,
M Prasidh Krishna,"KKR, RRO",51,9,3.00,49,34.76
D Pretorius,CSK,6,44,11.00,6,35.00
Y Prithvi Raj ,KKR,2,,,1,57.00
R J Quiney,RRO,7,103,14.71,,
A M Rahane,"MIN, RRO, RPS, DDV, KKR",158,4074,30.86,1,5.00
S K Raina,"CSK, GUJ",205,5528,32.52,25,45.80
R R  Raje,MIN,10,20,20.00,6,34.83
R Rampaul,RCB,12,51,10.20,14,21.29
N Rana,"MIN, KKR",91,2181,28.32,7,25.29
A U Rashid,KXI,1,,,,
Rasikh Salam,"MIN, KKR",3,12,12.00,,
Ravi Bishnoi,"KXI, LSG",37,8,4.00,37,28.70
M  Rawat,"RRO, PWI",18,55,11.00,,
P A  Reddy,"DCH, SUN",12,164,16.40,,
K W Richardson,"PWI, RRO, RCB",15,36,12.00,19,24.89
K A J Roach,DCH,2,10,10.00,,
L Ronchi,MIN,5,34,6.80,,
A S Roy,"MIN, KKR",3,,0.00,2,33.00
A D Russell,"DDV, KKR",98,2035,30.37,89,24.48
J D Ryder,"RCB, PWI",29,604,21.57,8,37.88
W P Saha,"KKR, CSK, KXI, SUN, GTI",144,2427,25.28,,
Sai Sudharsan,GTI,5,145,36.25,,
N A Saini,"RCB, RRO",30,33,8.25,20,45.00
Salman Butt,KKR,7,193,27.57,,
A M Salvi,DDV,7,,,7,28.57
D J G Sammy,"SUN, RCB",22,295,19.67,11,31.82
S V Samson,"RRO, DDV",138,3526,29.14,,
Sandeep Sharma,"KXI, SUN",104,52,8.67,114,26.33
G S Sandhu,DDV,3,,,1,82.00
P J Sangwan,"DDV, KKR, GUJ, MIN, GTI",42,26,3.25,38,32.63
M J Santner,CSK,12,54,18.00,10,27.70
X T  Sargunam,SUN,1,10,10.00,,
P M  Sarvesh Kumar,DCH,2,1,,1,42.00
R  Sathish,"MIN, KXI, KKR",34,270,15.88,3,77.33
J P R Scantlebury-Searles,KKR,4,8,8.00,2,44.50
T L Seifert,"KKR, DDV",3,26,8.67,,
S M S M Senanayake,KKR,8,10,10.00,9,23.22
P R  Shah,"MIN, RRO",16,92,11.50,,
Shahid Afridi,DCH,10,81,10.13,9,25.00
R A A Shaikh,MIN,1,,,,
Shakib Al Hasan,"KKR, SUN",71,793,19.83,63,29.19
V Shankar,"CSK, SUN, DDV, GTI",51,731,23.58,9,38.22
J M Sharma,KXI,12,234,29.25,,
K V Sharma,"RCB, SUN, MIN, CSK",68,317,15.10,59,27.29
R Sharma,"DCH, PWI, DDV",44,66,4.71,40,27.15
P P Shaw,DDV,63,1588,25.21,,
Shivam Mavi,KKR,32,51,5.67,30,31.40
Shoaib Ahmed,DCH,8,1,0.50,5,30.40
Shoaib Malik,DDV,7,52,13.00,2,42.50
D R Shorey,CSK,2,13,6.50,,
Shubman Gill,"KKR, GTI",74,1900,32.20,,
R  Shukla,"MIN, RRO, DDV",7,19,19.00,5,41.60
L M P Simmons,MIN,29,1079,39.96,1,34.00
N B Singh,GUJ,2,,,1,15.00
R K Singh,KKR,17,251,20.92,,
S Singh,SUN,10,69,17.25,,
V R Singh,KXI,19,4,2.00,12,45.17
G C Smith,"RRO, PWI",29,739,28.42,,
S P D Smith,"PWI, RRO, RPS, DDV",103,2485,34.51,,
R S Sodhi,KXI,3,4,,,
S Sohal,"KXI, DCH",22,368,18.40,,
T G Southee,"CSK, RRO, MIN, RCB, KKR",52,120,9.23,45,36.96
S Sreesanth,"KXI, KTK, RRO",44,34,8.50,40,29.85
S J  Srivastava,KXI,14,5,5.00,14,31.50
B Stanlake,"RCB, SUN",6,5,,7,28.57
D W Steyn,"RCB, DCH, SUN, GUJ",95,167,7.59,97,25.86
B A Stokes,"RPS, RRO",43,920,25.56,28,34.79
S B Styris,"DCH, CSK",12,131,18.71,8,34.50
T P C Sudhindra,DCH,3,,,1,136.00
B A  Sumanth,DCH,5,35,35.00,,
Sunny Singh,KXI,6,43,10.75,,
Swapnil Singh,KXI,5,12,4.00,1,90.00
A Symonds,"DCH, MIN",39,974,36.07,20,33.70
S W Tait,RRO,21,23,7.67,23,27.83
P V Tambe,"RRO, GUJ",33,18,9.00,28,30.46
J E Taylor,PWI,5,3,3.00,6,26.17
R N ten Doeschate,KKR,29,326,23.29,2,47.00
R Tewatia,"RRO, KXI, DDV, GTI",64,738,25.45,32,34.25
M M Theekshana,CSK,9,7,7.00,12,21.75
A C Thomas,PWI,15,20,10.00,14,29.00
D  Thornely,MIN,6,39,19.50,3,13.33
Tilak Varma,MIN,14,397,36.09,,
S S Tiwary,"MIN, RCB, DDV, RPS",93,1494,28.73,,
R A Tripathi,"RPS, RRO, KKR, SUN",76,1798,28.09,,
A J Turner,RRO,4,3,1.00,,
A J Tye,"GUJ, KXI, RRO, LSG",30,91,10.11,42,23.31
Umar Gul,KKR,6,39,13.00,12,15.33
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN",91,164,13.67,91,30.55
K  Upadhyay,PWI,3,12,,,
W P U J C Vaas,DCH,13,81,10.13,18,19.72
H E van der Dussen,RRO,3,22,11.00,,
J J van der Wath,RCB,3,18,9.00,3,43.00
C V Varun,"KXI, KKR",42,24,8.00,42,27.88
D L Vettori,"DDV, RCB",34,121,15.13,28,31.36
G H Vihari,"SUN, DDV",24,284,14.20,1,47.00
D P  Vijaykumar,DCH,9,1,,4,49.75
R Vinay Kumar,"RCB, KTK, KKR, MIN",105,310,11.07,105,28.25
Vishnu Vinod,"RCB, SUN",3,19,6.33,,
M Vohra,"KXI, RCB, RRO, LSG",55,1073,22.35,,
S B  Wagh,"RRO, PWI",8,2,1.00,5,27.40
D A Warner,"DDV, SUN",162,5881,42.01,,
S R Watson,"RRO, RCB, CSK",145,3874,30.99,92,29.15
D Wiese,RCB,15,127,31.75,16,25.13
K S Williamson,SUN,76,2101,36.22,,
M A Wood,CSK,1,1,1.00,,
A S  Yadav,DCH,8,49,9.80,,
K Yadav,RRO,1,,,,
U T Yadav,"DDV, KKR, RCB",133,177,9.83,135,28.87
Yashpal Singh,KKR,8,47,11.75,,
Younis Khan,RRO,1,3,3.00,,
A Zampa,"RPS, RCB",14,5,2.50,21,17.62
D N T Zoysa,DCH,3,11,11.00,2,49.50
K J Abbott,KXI,5,13,13.00,2,88.50
Abdul Samad,SUN,25,226,14.13,2,56.50
Abdur Razzak,RCB,1,,,,
L Ablish,KXI,3,,,3,25.00
M A Agarwal,"RCB, DDV, RPS, KXI",113,2327,22.59,,
A N  Ahmed,"MIN, RCB",17,36,36.00,12,40.75
Akash Singh,RRO,1,,,,
M M Ali,"RCB, CSK",44,910,23.33,24,26.13
P Amarnath,CSK,6,,,7,33.71
Anand Rajan,"DCH, SUN",9,15,15.00,9,25.44
Anirudh Singh,DCH,5,63,15.75,,
Ankit Sharma,"DCH, SUN, RRO, RPS",21,72,12.00,11,38.36
Anmolpreet Singh,MIN,3,29,9.67,,
Anureet Singh,"KKR, KXI, RRO",23,36,9.00,18,34.61
S Aravind,RCB,38,59,14.75,45,23.09
V G Arora,KXI,5,5,2.50,3,54.67
K B A Arun Karthik,"CSK, RCB",17,51,10.20,,
A Ashish Reddy,"DCH, SUN",31,280,18.67,18,22.00
R Ashwin,"CSK, RPS, KXI, DDV, RRO",184,647,13.48,157,28.88
S A  Asnodkar,RRO,20,423,21.15,,
