Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut
Dewald Brevis,,Left-handed,Leg Spin,South African,29-Apr-03,
Suryakumar Yadav,Batter,Right-handed,Right-arm Medium,Indian,14-Sep-90,2012
Ishan Kishan,Wicketkeeper Batter,Left-handed,,Indian,18-Jul-98,2016
Arjun Tendulkar,All-rounder,Left-handed,Medium-seam,Indian,24-Sep-99,
Hrithik Shokeen,Bowler,Right-handed,Right Arm Off Break,Indian,14-Aug-00,
Jofra Archer,All-rounder,Right-handed,Fast Seam,English,01-Apr-95,2018
Mohd. Arshad Khan,All Rounder,Left-handed,Left Arm Medium,Indian,20-Dec-97,
N. Tilak Varma,Batter,Left-handed,Right Arm Off Break,Indian,08-Nov-02,
Ramandeep Singh,Batter,Right-handed,Right Arm Medium,Indian,28-Mar-98,
Tim David,Batter,Right-handed,Right-arm Medium,Singaporean,16-Mar-96,
Jasprit Bumrah,Bowler,Right-handed,Right-arm Medium,Indian,06-Dec-93,2013
Cameron Green,All-Rounder,Right-handed,Right Arm Fast,Australia,03-Jun-99,
Jhye Richardson,Bowler,Right-handed,,Australian,20-Sep-96,
Kumar Kartikeya Singh,Bowler,Right-handed,Left Arm Orthodox,Indian,26-Dec-97,
Tristan Stubbs,Wicketkeeper Batter,Right-handed,Right Arm Offbreak,South African,14-Aug-00,
Piyush Chawla,Bowler,Left-handed,Right-arm Leg Spin,Indian,24-Dec-88,2008
Akash Madhwal,Bowler,Right-handed,Right Arm Fast Medium,Indian,25-Nov-93,
Shams Mulani,All-Rounder,Left-handed,Left Arm Slow Orthodox,Indian,13-Mar-97,
Jason Behrendorff,Bowler,Right-handed,Left-arm Fast-medium,Australian,20-Apr-90,
Nehal Wadhera,All-Rounder,Left-handed,Right Arm Leg Spin,Indian,04-Sep-00,
Vishnu Vinod,Wicketkeeper Batter,Right-handed,,Indian,02-Dec-93,
Raghav Goyal,Bowler,Left-handed,Left Arm Slow Orthodox,Indian,20-Jun-01,
Duan Jansen,All-Rounder,Right-handed,Left Arm Fast,South Africa,01-May-00,
Shikhar Dhawan,Batter,Left-handed,,Indian,05-Dec-85,2008
Bhanuka Rajapaksa,Batter,Left-handed,Right-arm Medium,Sri Lankan,24-Oct-91,
Jitesh Sharma,Wicket-keeper,Right-handed,,Indian,22-Oct-93,
Jonny Bairstow,Wicketkeeper Batter,Right-handed,,English,26-Sep-89,2019
Prabhsimran Singh,Wicketkeeper Batter,Right-handed,,Indian,10-Aug-00,2019
Atharva Taide,All-rounder,Left-handed,Left-arm Spin,Indian,26-Apr-00,
Harpreet Brar,Bowler,Left-handed,Orthodox,Indian,16-Sep-95,2019
Liam Livingstone,Batter,Right-handed,Leg Spin,English,04-Aug-93,
Raj Angad Bawa,All-rounder,Left-handed,Right-arm Medium Fast,Indian,12-Nov-02,
Rishi Dhawan,All-rounder,Right-handed,Right-arm Medium Fast,Indian,19-Feb-90,2013
Shahrukh Khan,Batter,Right-handed,,Indian,27-May-95,
Arshdeep Singh,Bowler,Left-handed,Left Arm Fast-medium,Indian,05-Feb-99,2019
Baltej Dhanda,Bowler,Right-handed,Right-arm Medium Fast,Indian,04-Nov-90,
Kagiso Rabada,Bowler,Left-handed,Fast Seam,South African,25-May-95,2017
Nathan Ellis,Bowler,Right-handed,Fast Seam,Australian,22-Sep-94,
Rahul Chahar,Bowler,Right-handed,Leg Spin,Indian,04-Aug-99,2017
Sam Curran,All-rounder,Left-handed,Left Arm Fast Medium,English,03-Jun-98,2019
Sikandar Raza,All-Rounder,Right-handed,Right Arm Off Spin,Zimbabwe,24-Apr-86,
Harpreet Bhatia,Batter,Left-handed,Right Arm Medium,Indian,11-Aug-91,
Vidwath Kaverappa,Bowler,Right-handed,Right Arm Fast Medium,Indian,25-Feb-99,
Mohit Rathee,All-Rounder,Right-handed,Right Arm Leg Spin,Indian,13-Jan-99,
Shivam singh,All- rounder,Right-handed,Right Arm Off Spin,Indian,21-Jun-95,
Sanju Samson,Wicketkeeper Batter,Right-handed,,Indian,11-Nov-94,2013
Devdutt Padikkal,Batter,Left-handed,Right-arm Offbreak,Indian,07-Jul-00,
Jos Buttler,Wicketkeeper Batter,Right-handed,,English,08-Sep-90,2016
Shimron Hetmyer,Batter,Left-handed,,West Indian,26-Dec-96,2019
Yashasvi Jaiswal,Batter,Left-handed,,Indian,28-Dec-01,
Dhruv Jurel,Wicket-keeper,Right-handed,,Indian,21-Jan-01,
Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,17-Sep-86,2009
Riyan Parag,Batter,Right-handed,Right-arm Legbreak,Indian,10-Nov-01,2019
KC Cariappa,Bowler,Right-handed,Leg-break,Indian,13-Apr-94,2015
Kuldeep Sen,Bowler,Right-handed,Right-arm Fast-medium,Indian,22-Oct-96,
Kuldip Yadav,Bowler,Left-handed,Left Arm Medium,Indian,15-Oct-96,
Navdeep Saini,Bowler,Right-handed,Right Arm Fast,Indian,23-Nov-92,2019
Obed McCoy,,Left-handed,Left Arm Fast,West Indian,04-Jan-97,
